datetime,Ia (A),Ib (A),Ic (A),In (A),Iavg (A),Va (V),Vb (V),Vc (V),Vavg (V),Pa (kW),Pb (kW),Pc (kW),Ptot (kW),VARa (kVAR),VARb (kVAR),VARc (kVAR),VARtot (kVAR),VAa (kVA),VAb (kVA),VAc (kVA),VAtot (kVA),PFa,PFb,PFc,PFtot,DFa,DFb,DFc,DFtot
2024-02-05 09:45:00,6.888442099416828,1.6270563732296583,2.02462926964732,6.4246959178006104,3.5135878922521524,226.5823215773396,226.83951124687584,227.04671757845043,226.82285198555957,1.5460483199111357,1.0149264093307415,0.37602332685365175,2.220083310191613,0.21419327964454316,2.79380172174396,0.21,2.7401777284087756,1.5609025270758123,0.37056095529019717,0.4592890863648987,2.391083032490975,0.99,1.4416384337683976,1.1868592057761733,1.0716550958067204,1.0,1.2078006109414052,1.0806470424881978,1.0956567620105526
2024-02-05 10:00:00,7.108896609227349,1.2337298499166203,2.0761228460255694,6.802137298499166,3.4731100611450807,226.39665647581992,226.34029738743746,226.7784602556976,226.5052445803224,1.5950166759310729,1.2990689271817677,0.37868260144524735,2.185522512506948,0.21429127292940522,2.347379099499722,0.21,2.2906003335186216,1.6093413007226236,0.2778182323513063,0.4703807670928294,2.3579071706503614,0.9905919955530851,1.4982768204558088,1.19784046692607,1.073349082823791,1.0,1.2553918843802114,1.0807504168982769,1.1117454141189549
2024-02-05 10:15:00,7.034837545126354,6.308144959733408,2.151652318800333,4.864057206331575,5.164890308247709,225.98554845876146,225.54498194945847,226.04344348792,225.8581866148292,1.574815329075257,1.4071119133574008,0.39286031657872816,3.373832268814218,0.21892529852818662,3.064926409330741,0.21,3.0048875312413212,1.5896917522910303,1.4247403499028046,0.4865703971119133,3.501108025548459,0.99,1.010555401277423,1.1913412940849764,1.0345209663982227,1.0,1.0004665370730352,1.0732990835878924,1.0234740349902804
2024-02-05 10:30:00,7.181627777777778,5.784005555555555,2.7567055555555555,5.123058333333333,5.240780555555556,225.84440833333332,225.42315277777777,225.88019166666666,225.71573333333333,1.6075694444444444,1.2998722222222223,0.5402638888888889,3.428991666666667,0.2193027777777778,3.07,0.22496666666666668,2.7164416666666664,1.6220166666666667,1.3035138888888889,0.6265499999999999,3.5505444444444447,0.990013888888889,1.0618833333333333,1.161225,1.0250555555555556,1.0,1.0248583333333332,1.0634416666666668,1.0107194444444445
2024-02-05 10:45:00,7.041369064148848,1.871646764787559,8.10093307414607,6.4211857817272975,5.671574562621494,225.59925576228827,225.4269147459039,225.61492918633712,225.5470508192169,1.5736684254373787,0.7174146070535962,1.8032518744793113,3.744593168564288,0.2180533185226326,2.8741321855040267,0.2978978061649542,0.38968897528464314,1.5884976395445711,0.42389336295473473,1.8276950846986948,3.8392363232435436,0.99,1.4373507359066928,0.9892141071924465,0.9746098306026103,1.0,1.2123826714801444,1.0,0.9286948069980561
2024-02-05 11:00:00,7.272275,10.394775000000001,7.924816666666667,6.012672222222222,8.530775,225.95516944444444,225.11371111111112,225.52044166666667,225.52969444444446,1.6276222222222223,2.375847222222222,1.7527305555555555,5.669041666666667,0.22339166666666668,0.7226527777777778,0.3010611111111111,0.8015472222222223,1.6435944444444446,2.3405833333333335,1.787,5.7707250000000005,0.989986111111111,1.0463694444444445,1.017813888888889,0.9791027777777778,1.0,1.022788888888889,1.01065,0.9895833333333334
2024-02-05 11:15:00,7.245886111111111,9.736019444444445,9.791863888888889,3.992302777777778,8.924636111111111,225.66216666666668,224.9874388888889,225.16125555555556,225.2702611111111,1.6205222222222222,2.1464916666666665,2.1797444444444443,5.946355555555556,0.2192527777777778,0.430075,0.3155111111111111,0.8797583333333333,1.6350361111111111,2.1913416666666667,2.203516666666667,6.030080555555556,0.989986111111111,0.9849055555555555,0.9913527777777777,0.984825,1.0,0.9999833333333333,1.0,0.9999916666666666
2024-02-05 11:30:00,7.400272297860517,13.592706307307585,10.065940539038621,6.45676021116977,10.352950819672131,225.93505696026673,225.09741594887467,225.4162684078911,225.48303695470963,1.6572964712420115,3.0071019727702137,2.2376743539872184,6.901911642122812,0.22254515143095305,0.537229786051681,0.37176715754376216,0.7243984440122256,1.6721005834954152,3.0591330925257014,2.271494859683245,7.002820227841068,0.9903417616004445,0.9891303139761045,0.9943706585162545,0.9881744929146985,1.0,0.9972686857460406,1.0015170880800222,0.9982022784106697
2024-02-05 11:45:00,7.490930555555555,14.065797222222223,10.905869444444443,7.369144444444444,10.820725,225.64989722222222,224.95840555555557,225.32145,225.310125,1.676011111111111,3.1016250000000003,2.4096861111111108,7.187216666666666,0.21974166666666667,0.603725,0.4751888888888889,0.916088888888889,1.6903277777777777,3.162716666666667,2.4567833333333335,7.309927777777778,0.9901416666666666,0.9790388888888889,1.0188027777777777,0.98345,1.0,0.9894777777777778,1.0080277777777777,0.99555
2024-02-05 12:00:00,7.516362121632879,9.892191058039433,9.982646487086921,5.284059983337962,9.130449875034712,226.4054512635379,225.80083310191614,226.03543182449317,226.0806609275201,1.6879950013885032,2.1561316301027493,2.197820049986115,6.041960566509302,0.2168841988336573,0.5795640099972229,0.6386309358511525,0.9479061371841155,1.7015051374618162,2.233310191613441,2.2536934184948625,6.188542071646764,0.99,0.9630963621216327,1.0247736739794502,0.9746070535962232,1.0,0.9804137739516801,1.009633435156901,0.9878478200499861
2024-02-05 12:15:00,7.604117810502918,9.376657404834676,20.05862461794943,12.851153098082802,12.346624062239512,228.47125312586832,227.85017504862464,227.3610697415949,227.89420394554043,1.7226118366212835,2.0467435398721867,4.405243123089747,8.174448457904974,0.22696026674076134,0.5718699638788552,1.399294248402334,1.8348180050013894,1.737338149485968,2.136154487357599,4.553131425395944,8.426813003612114,0.9906890803000833,0.937079744373437,0.9731147540983606,0.9713531536537927,1.0,0.9773242567379827,0.9817477076965824,0.98486524034454
2024-02-05 12:30:00,7.99417661760622,12.873040821993891,28.08900583171341,19.31274368231047,16.318744793113027,228.0644793113024,227.19222438211605,226.56817828381006,227.27501249652872,1.8064009997222994,2.853324076645376,6.124362677034156,10.784393224104415,0.24554290474868093,0.6287725631768953,1.7169813940572065,2.5361316301027492,1.823121355179117,2.9252374340460987,6.36510136073313,11.113374062760345,0.9920244376562065,0.9732379894473757,0.9617717300749791,0.9712496528742015,1.0,0.9918078311580116,0.965862260483199,0.9850208275479033
2024-02-05 12:45:00,8.192777777777778,13.055230555555555,26.408291666666667,17.865608333333334,15.885272222222223,227.85330833333333,226.84741944444443,226.20999722222223,226.97019166666666,1.8493722222222222,2.894047222222222,5.737433333333333,10.480672222222221,0.26231944444444444,0.6040416666666666,1.6408388888888887,2.4400388888888886,1.866838888888889,2.9602083333333336,5.972808333333333,10.8001,0.9922972222222222,0.9764722222222222,0.9586638888888889,0.9702361111111111,1.0,0.9923916666666667,0.9640333333333333,0.9854916666666667
2024-02-05 13:00:00,7.961858333333333,17.157019444444444,28.941613888888888,20.811958333333333,18.02010277777778,227.28505277777776,226.0673027777778,225.2466388888889,226.19936666666666,1.792213888888889,3.828338888888889,6.290577777777778,11.911475,0.24930555555555556,0.6104083333333333,1.6981166666666667,2.420491666666667,1.809886111111111,3.878172222222222,6.519550000000001,12.2078,0.9953944444444445,0.9881583333333332,0.9637249999999999,0.9737861111111111,1.0,0.99885,0.9680833333333333,0.9898583333333333
2024-02-05 13:15:00,8.212625000000001,13.406025000000001,27.335391666666666,18.862424999999998,16.31797222222222,227.29691111111111,226.34192222222222,225.63661666666664,226.42505000000003,1.8495555555555556,2.9673722222222225,5.933808333333333,10.750691666666667,0.25398333333333334,0.5948416666666666,1.6569472222222223,2.227613888888889,1.867313888888889,3.0314222222222225,6.165227777777778,11.06373611111111,1.000875,0.9772638888888889,0.9620416666666667,0.9709694444444443,1.0,0.9940222222222223,0.9658972222222222,0.987275
2024-02-05 13:30:00,8.465958333333333,16.59856111111111,29.28831111111111,20.52402222222222,18.117752777777778,227.61924444444446,226.13341666666668,225.77113333333332,226.50819444444446,1.9061083333333333,3.7012083333333337,6.380402777777778,11.987747222222222,0.2696888888888889,0.6115388888888889,1.7182305555555555,2.315338888888889,1.9270777777777777,3.753225,6.611680555555555,12.291925,0.999625,0.9866222222222223,0.9648249999999999,0.9748194444444445,1.0,0.9977527777777777,0.9694305555555555,0.9888416666666666
2024-02-05 13:45:00,8.66359544317866,16.57191164212281,28.762503473186996,19.88458460683523,17.999427618782995,227.62816337871632,226.06621561544875,225.68119755487635,226.45858016115588,1.9498860794665183,3.692695193109197,6.258257849402612,11.90051958877466,0.281183662128369,0.6157793831619894,1.7085718255070852,2.134765212559044,1.97217282578494,3.7452153375937765,6.491022506251737,12.208455126424008,1.006273964990275,0.9857682689636009,0.9639705473742706,0.9740733537093638,1.0,0.99780772436788,0.9686857460405668,0.988563489858294
2024-02-05 14:00:00,8.714307136906415,16.549641766176062,28.153090808108857,19.437364620938627,17.805681755068036,227.72886698139408,226.18692863093585,225.88986948069982,226.60204387670092,1.9643710080533185,3.691594001666204,6.1275617883921125,11.783685087475702,0.2801027492363233,0.6105387392391003,1.6864343237989445,2.129269647320189,1.9845348514301582,3.743904470980283,6.360202721466259,12.088592057761732,1.0058955845598445,0.9871452374340461,0.9624326575951124,0.9742182727020272,1.0,0.9978839211330186,0.9677089697306304,0.987820049986115
2024-02-05 14:15:00,8.37718888888889,14.906736111111112,33.85901666666667,24.843666666666667,19.047583333333336,226.74795,225.3643972222222,224.75118333333333,225.62130000000002,1.8815666666666668,3.3067277777777777,7.326686111111111,12.515058333333332,0.2528638888888889,0.5841305555555555,2.0345666666666666,2.403175,1.8995194444444443,3.360063888888889,7.608427777777778,12.867700000000001,1.0082194444444446,0.9853666666666667,0.9627055555555555,0.9714305555555556,1.0,0.9954194444444444,0.9655083333333333,0.9874611111111111
2024-02-05 14:30:00,12.627811111111113,16.8468,40.54729444444445,26.314916666666665,23.34041388888889,226.41215833333334,225.17655555555555,224.51509166666665,225.36781666666667,2.7930027777777777,3.6407416666666665,8.666047222222222,15.100163888888888,0.6015277777777778,1.0359555555555555,2.7768111111111113,4.3103694444444445,2.8592555555555554,3.7913222222222225,9.103933333333334,15.754427777777778,0.98015,0.960475,0.9524361111111111,0.9583666666666666,0.9843472222222223,0.9665527777777778,0.9545333333333332,0.9678694444444444
2024-02-05 14:45:00,13.70023611111111,17.993033333333333,40.83640833333334,26.96450833333333,24.176599999999997,226.70809722222222,225.29561388888888,224.58948055555555,225.53106666666665,3.0281111111111114,3.9460416666666664,8.674263888888888,15.648272222222221,0.6911055555555555,0.8967944444444444,2.9679194444444446,4.5558000000000005,3.105766666666667,4.0520555555555555,9.169866666666666,16.327761111111112,0.9746944444444444,0.9710472222222222,0.9482,0.9580333333333334,0.98,0.9798888888888888,0.9483194444444444,0.9681888888888889
2024-02-05 15:00:00,13.732555555555555,17.690925,36.631997222222225,22.978033333333332,22.685175,226.6130222222222,225.25305555555556,224.92413055555556,225.5965472222222,3.033333333333333,3.8839305555555557,7.7447638888888894,14.662244444444445,0.6937527777777777,0.876786111111111,2.8029527777777776,4.3734416666666664,3.111875,3.9848694444444446,8.238002777777778,15.33455,0.9725888888888888,0.9715944444444444,0.9401888888888889,0.9560638888888888,0.9800666666666666,0.9814972222222221,0.9434222222222222,0.9675777777777778
2024-02-05 15:15:00,10.205402777777778,14.045116666666667,33.32863888888889,24.162108333333332,19.193144444444446,226.78200555555554,225.3700777777778,225.04643611111112,225.73275555555557,2.272675,3.0851333333333333,7.116458333333333,12.474441666666666,0.42366111111111115,0.7485972222222222,2.359566666666667,2.888794444444444,2.314458333333333,3.1635916666666666,7.50045,12.978516666666668,0.9907027777777778,1.0146944444444446,0.9508527777777777,0.9616777777777777,0.9928111111111111,0.9998916666666667,0.9528805555555555,0.9789194444444445
2024-02-05 15:30:00,10.344717977215893,10.656801889413726,29.247232564601276,20.406476799110866,16.749669352597945,227.20093914976383,225.82725757154768,225.5565601555988,226.1949041400389,2.3305640455682135,2.3453876076687967,6.276054459572103,10.951886635176438,0.4135676576826896,0.474584606835232,2.0272131147540984,2.0056904695748816,2.35089469297027,2.4063323145318143,6.596540705751598,11.353520422339539,1.007607668796888,1.013626007224229,0.9528368991386496,0.964031675465407,1.0,1.0045012503473187,0.9550875243123089,0.9840205612670185
2024-02-05 15:45:00,12.777947792279923,11.33097195223549,31.40372674257151,20.213163010274926,18.5041377395168,227.5715745626215,226.32845320744238,226.05059150236048,226.65033046376007,2.887850597056373,2.512440988614274,6.762582615940017,12.162710358233824,0.59,0.48873923910024997,2.1452790891419053,2.1147347958900307,2.907970008331019,2.5659844487642323,7.096145515134685,12.569705637322967,1.01,1.002154956956401,0.9523465703971118,0.968303249097473,1.0,1.0027575673424047,0.9567509025270757,0.9862427103582339
2024-02-05 16:00:00,12.588594444444444,11.444230555555556,29.58922777777778,18.7597,17.873866666666665,228.17713055555558,226.92908888888888,226.56614444444443,227.22395,2.8530944444444444,2.5509305555555555,6.368636111111111,11.772366666666667,0.59,0.47310833333333335,2.0791305555555555,2.080172222222222,2.8724777777777777,2.597077777777778,6.701425,12.171077777777777,1.01,0.9873500000000001,0.9480305555555555,0.9686638888888889,1.0,0.999975,0.9536944444444444,0.9858444444444444
2024-02-05 16:15:00,12.602381217004725,10.004790219505418,29.224445679355377,18.658207835509863,17.27708530147263,228.93070019449846,227.6548013337038,227.21615448735758,227.93397054737426,2.866549041400389,2.205493192553487,6.301858849680467,11.373881633787162,0.59,0.49230619616560156,2.0796749096971383,1.9517949430397332,2.8855265351486525,2.276290636287858,6.6382078355098635,11.799636010002779,1.0095304251180883,1.0265545984995832,0.9465407057515977,0.9635926646290636,1.0,1.0075465407057516,0.9538260627952209,0.9829841622672965
2024-02-05 16:30:00,11.954990280477645,10.507589558455985,17.051902249375175,10.110477645098584,13.171532907525688,229.58684254373784,228.4429991668981,228.59718966953625,228.8754929186337,2.7293612885309635,2.344065537350736,3.739005831713413,8.812957511802276,0.59,0.5717522910302694,1.09731463482366,1.3089919466814774,2.744854207164676,2.400580394334907,3.8889003054707025,9.034207164676479,1.01,1.0199638989169675,0.9811274645931686,0.9888336573174118,1.0,1.006420438767009,0.9803526798111636,0.9951763399055819
2024-02-05 16:45:00,12.03619060850236,9.810372325646012,15.608441233676022,7.245234787440955,12.484831897749375,228.96990830786328,227.74428452347877,227.79561267018616,228.16994442900807,2.7409974993053625,2.1885440400111142,3.4599749930536263,8.389830508474576,0.59,0.49213670464017784,0.8016143373159211,0.8744956932481245,2.7555570991942204,2.2347179772158934,3.5551319811058626,8.545607113086968,1.0091442067240899,0.9890386218393998,0.9740094470686301,0.984406779661017,1.0,0.9999305362600722,0.9839705473742706,0.9939761044734648
2024-02-05 17:00:00,11.798022771452374,9.6407109136351,14.589891696750902,7.416406553735073,12.009572341016385,227.1642904748681,226.0594029436268,225.9352429880589,226.38605665093027,2.665012496528742,2.1150874757011944,3.210108303249098,7.989891696750902,0.59,0.42817272979727855,0.7328853096362121,0.8616578728131075,2.680024993057484,2.178622604831991,3.2963732296584283,8.155356845320744,1.01,1.0392529852818662,0.9758094973618439,0.9885087475701194,1.0,1.0103971119133575,0.9871396834212719,0.9959761177450708
2024-02-05 17:15:00,11.925797222222222,8.537825,13.214672222222221,7.279302777777779,11.22616111111111,226.98914444444446,226.15934444444446,226.0219138888889,226.39005277777775,2.6921833333333334,1.8748138888888888,2.887469444444444,7.454458333333333,0.59,0.8170638888888889,0.7346722222222223,0.8418388888888888,2.707175,1.9316555555555555,2.9857,7.624641666666666,1.0092916666666667,1.0107666666666666,0.9594,0.9865527777777778,1.0,1.003438888888889,0.9783805555555556,0.9938222222222222
2024-02-05 17:30:00,9.362511111111111,8.656872222222223,11.844391666666667,7.340144444444444,9.954552777777778,226.75174444444445,226.02984999999998,225.68219722222224,226.1544861111111,2.1000916666666667,1.8723027777777779,2.5629388888888887,6.535188888888889,0.49374444444444443,0.5407861111111112,0.7220777777777778,0.7901138888888889,2.1205055555555554,1.954336111111111,2.6701,6.744741666666666,1.00325,1.0695194444444445,0.9461499999999999,0.9772527777777779,0.9999416666666666,1.0127249999999999,0.9734444444444444,0.9908222222222223
