datetime,PARAM_PV,PARAM_PL,Buy_rate,Sell_rate,Pnet,u1,s1,Pchg_1,Pchg_2,Pdchg_1,Pdchg_2,xchg_1,xchg_2,xdchg_1,xdchg_2,soc_1,soc_2,upper_bound_Pchg,upper_bound_Pdchg
2023-03-16 00:00:00,0.3074375,1.826289103313407,2.6,2,-9.536846723203242,6.198950370082108,8.493466566056954e-15,4.008997559944895,4.00899755994494,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0
2023-03-16 00:15:00,0.3074375,1.8302156414444444,2.6,2,-9.540773261334275,6.20150261986728,0.0,4.008997559944894,4.008997559944939,0.0,0.0,1.0,1.0,0.0,0.0,20.76170953638953,20.76170953638954,0.0,0.0
2023-03-16 00:30:00,0.3074375,1.606555349527186,2.6,2,-9.317112969417012,6.056123430121058,0.0,4.008997559944893,4.008997559944933,0.0,0.0,1.0,1.0,0.0,0.0,21.523419072779063,21.523419072779078,0.0,0.0
2023-03-16 00:45:00,0.3074375,1.810593637262636,2.6,2,-9.521151257152644,6.188748317149218,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,22.285128609168588,22.285128609168613,0.0,0.0
2023-03-16 01:00:00,0.3074375,1.804457520888889,2.6,2,-9.515015140778896,6.184759841506283,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,23.04683814555814,23.046838145558162,0.0,0.0
2023-03-16 01:15:00,0.3074375,1.789209679111111,2.6,2,-9.499767299001117,6.174848744350727,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,23.808547681947694,23.80854768194771,0.0,0.0
2023-03-16 01:30:00,0.3074375,2.1288529211435687,2.6,2,-9.839410541033576,6.395616851671825,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,24.570257218337247,24.57025721833726,0.0,0.0
2023-03-16 01:45:00,0.3074375,3.772896273444445,2.6,2,-11.483453893334454,7.464245030667396,-1.1546873276189849e-14,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,25.3319667547268,25.33196675472681,0.0,0.0
2023-03-16 02:00:00,0.3074375,3.572229019555555,2.6,2,-11.282786639445563,7.333811315639617,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,26.093676291116353,26.09367629111636,0.0,0.0
2023-03-16 02:15:00,0.3074375,3.106696947777778,2.6,2,-10.817254567667787,7.031215468984062,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,26.855385827505906,26.85538582750591,0.0,0.0
2023-03-16 02:30:00,0.3074375,2.85931609441154,2.6,2,-10.569873714301547,6.870417914296006,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,27.61709536389546,27.61709536389546,0.0,0.0
2023-03-16 02:45:00,0.3074375,3.033381748686097,2.6,2,-10.743939368576104,6.983560589574468,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,28.378804900285008,28.378804900285008,0.0,0.0
2023-03-16 03:00:00,0.3074375,2.887978455888889,2.6,2,-10.598536075778895,6.889048449256284,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,29.14051443667456,29.14051443667456,0.0,0.0
2023-03-16 03:15:00,0.3074375,2.8781658195555564,2.6,2,-10.588723439445562,6.882670235639617,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,29.902223973064114,29.902223973064114,0.0,0.0
2023-03-16 03:30:00,0.3074375,2.913405147777778,2.6,2,-10.623962767667784,6.905575798984061,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,30.663933509453667,30.663933509453667,0.0,0.0
2023-03-16 03:45:00,0.3074375,2.9667756782853134,2.6,2,-10.67733329817532,6.940266643813958,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,31.42564304584322,31.42564304584322,0.0,0.0
2023-03-16 04:00:00,0.3074375,2.896964965444445,2.6,2,-10.607522585334452,6.8948896804673945,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,32.18735258223277,32.18735258223277,0.0,0.0
2023-03-16 04:15:00,0.3074375,2.793574303603373,2.6,2,-10.504131923493382,6.827685750270699,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,32.94906211862232,32.94906211862232,0.0,0.0
2023-03-16 04:30:00,0.3074375,2.688777691153756,2.6,2,-10.399335311043764,6.759567952178447,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,33.710771655011875,33.710771655011875,0.0,0.0
2023-03-16 04:45:00,0.3074375,2.669129106777778,2.6,2,-10.379686726667785,6.746796372334061,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,34.47248119140143,34.47248119140143,0.0,0.0
2023-03-16 05:00:00,0.3074375,2.590981037555556,2.6,2,-10.301538657445564,6.696000127339617,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,35.23419072779098,35.23419072779098,0.0,0.0
2023-03-16 05:15:00,0.3074375,2.698846373181923,2.6,2,-10.409403993071932,6.766112595496756,0.0,4.008997559945006,4.008997559945003,0.0,0.0,1.0,1.0,0.0,0.0,35.995900264180534,35.995900264180534,0.0,0.0
