datetime,PARAM_PV,PARAM_PL,Buy_rate,Sell_rate,Pnet,u1,s1,Pchg_1,Pchg_2,Pdchg_1,Pdchg_2,xchg_1,xchg_2,xdchg_1,xdchg_2,soc_1,soc_2
2023-03-16 06:30:00,0.3074375,4.93774609625193,2.6,2,-4.63030859625193,3.0097005875637546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21290373987931,65.2129037398793
2023-03-16 06:45:00,0.32570797611374935,4.822211448,2.6,2,-4.496503471886251,2.922727256726063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21290373987931,65.2129037398793
2023-03-16 07:00:00,0.672717323438255,3.9636390256558416,2.6,2,-3.2909217022175867,2.1390991064414315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21290373987931,65.2129037398793
2023-03-16 07:15:00,1.6408273734124568,4.689045899333333,2.6,2,-3.0482185259208765,1.9813420418485699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21290373987931,65.2129037398793
2023-03-16 07:30:00,3.7186554882283223,4.879937679777777,2.6,2,-1.161282191549455,0.7548334245071457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21290373987931,65.2129037398793
2023-03-16 07:45:00,5.819210586036083,5.073721683685375,2.6,2,0.0,0.0,0.0,0.37274445117532284,0.3727444511753851,0.0,0.0,1.0,1.0,0.0,0.0,65.21290373987931,65.2129037398793
2023-03-16 08:00:00,5.530379430151161,4.997766738999999,2.6,2,0.0,0.0,0.0,0.2663063455756088,0.26630634557555277,0.0,0.0,1.0,1.0,0.0,0.0,65.28372518560262,65.28372518560262
2023-03-16 08:15:00,5.1819242424031815,5.093414078888888,2.6,2,0.0,0.0,0.0,0.044255081757100155,0.04425508175719295,0.0,0.0,1.0,1.0,0.0,0.0,65.33432339126198,65.33432339126198
2023-03-16 08:30:00,6.682686895239722,5.088117519890657,2.6,2,0.0,0.0,0.0,0.7972846876745345,0.7972846876745302,0.0,0.0,1.0,1.0,0.0,0.0,65.34273185679584,65.34273185679584
2023-03-16 08:45:00,7.595264065835073,5.230975266222222,2.6,2,0.0,0.0,0.0,1.1821443998064247,1.1821443998064263,0.0,0.0,1.0,1.0,0.0,0.0,65.494215947454,65.494215947454
2023-03-16 09:00:00,10.656043596578895,4.807268936444445,5.8,2,-1.3322676295501878e-15,0.0,0.0,2.924387330067179,2.924387330067272,0.0,0.0,1.0,1.0,0.0,0.0,65.71882338341722,65.71882338341722
2023-03-16 09:15:00,12.581686517306617,5.194999356437293,5.8,2,-4.440892098500626e-16,0.0,0.0,3.6933435804347354,3.6933435804345884,0.0,0.0,1.0,1.0,0.0,0.0,66.27445697612998,66.27445697613
2023-03-16 09:30:00,9.09937591589075,6.626583879444444,5.8,2,-2.220446049250313e-16,0.0,0.0,1.2363960182231004,1.2363960182232063,0.0,0.0,1.0,1.0,0.0,0.0,66.97619225641257,66.97619225641257
2023-03-16 09:45:00,8.389878744761521,11.197160892444444,5.8,2,2.220446049250313e-16,0.0,0.0,0.0,0.0,1.4036410738414047,1.4036410738415181,0.0,0.0,1.0,1.0,67.21110749987497,67.21110749987498
2023-03-16 10:00:00,10.086642216462508,11.77642541228236,5.8,2,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.8448915979099298,0.8448915979099231,0.0,0.0,1.0,1.0,66.89336192571731,66.89336192571731
2023-03-16 10:15:00,11.70195621118183,10.06986947511111,5.8,2,0.0,0.0,0.0,0.8160433680353445,0.8160433680353756,0.0,0.0,1.0,1.0,0.0,0.0,66.70210180168564,66.70210180168563
2023-03-16 10:30:00,11.9803189374703,9.789690565488426,5.8,2,-2.220446049250313e-16,0.0,0.0,1.0953141859909892,1.0953141859908841,0.0,0.0,1.0,1.0,0.0,0.0,66.85715004161236,66.85715004161236
2023-03-16 10:45:00,18.329430595223332,10.31143547533333,5.8,2,-1.7763568394002505e-15,0.0,0.0,4.008997559945,4.008997559945005,0.0,0.0,1.0,1.0,0.0,0.0,67.06525973695064,67.06525973695062
2023-03-16 11:00:00,25.540878992995804,11.64581570028558,5.8,2,-1.7763568394002505e-15,0.0,0.0,6.947531646355091,6.947531646355135,0.0,0.0,1.0,1.0,0.0,0.0,67.8269692733402,67.82696927334017
2023-03-16 11:15:00,21.147981080191887,12.507180406555548,5.8,2,-8.881784197001252e-16,0.0,0.0,4.320400336818067,4.320400336818272,0.0,0.0,1.0,1.0,0.0,0.0,69.14700028614766,69.14700028614764
2023-03-16 11:30:00,9.265704723824312,17.23635888422222,5.8,2,-4.440892098500626e-16,0.0,0.0,0.0,0.0,3.9853270801989495,3.985327080198958,0.0,0.0,1.0,1.0,69.9678763501431,69.96787635014311
2023-03-16 11:45:00,22.939800417319326,17.0327874151935,5.8,2,-1.3322676295501878e-15,0.0,0.0,2.953506501062922,2.9535065010629054,0.0,0.0,1.0,1.0,0.0,0.0,69.06570836368041,69.06570836368041
2023-03-16 12:00:00,23.36677628370331,16.593900008222224,5.8,2,-1.3322676295501878e-15,0.0,0.0,3.3864381377405857,3.386438137740501,0.0,0.0,1.0,1.0,0.0,0.0,69.62687459888237,69.62687459888237
2023-03-16 12:15:00,26.20663564750036,13.154991198333336,5.8,2,-2.6645352591003757e-15,0.0,0.0,6.525822224583547,6.525822224583479,0.0,0.0,1.0,1.0,0.0,0.0,70.27029784505307,70.27029784505307
