datetime,PLa,PLb,PLc,PLtot,PVa,PVb,PVc,PVtot
2023-05-25 07:30:00,0.3081713333333532,2.115817777777784,0.1665041111111123,2.590307333333356,0.2779509646021519,0.0,0.1674758173899855,0.4453481724549957
2023-05-25 07:45:00,0.2075453121007029,2.1304040583639896,0.1522073188349413,2.4875760943247966,0.382874590990759,0.0,0.2623851902263951,0.6450715231448146
2023-05-25 08:00:00,0.2369062517365897,2.1345580439010874,0.2556579049736174,2.628757654904147,0.5060813822261242,0.0,0.3765743373293166,0.8827422820451417
2023-05-25 08:15:00,0.278183726742574,2.266027547903359,0.5553497361845522,3.100696362121803,0.6384145235873614,0.0,0.497472812701375,1.1358303320890435
2023-05-25 08:30:00,0.2301419078099252,2.470226252389211,1.6585822554118212,4.359562274969969,0.7649233835246328,0.0,0.6144379810866583,1.3791999174343044
2023-05-25 08:45:00,0.2300891239845705,2.4988800604531844,1.6465536132997003,4.373587962705725,0.8524865217777883,0.0,0.696375578371068,1.5486589615309063
2023-05-25 09:00:00,0.2728718985317115,2.487665430151701,1.663337368666566,4.424306070770099,0.9524936202737546,0.0,0.790518114264636,1.7431428105927889
2023-05-25 09:15:00,0.230603888888864,2.4822631111110973,1.7262455555555618,4.44192399999996,1.021536701957506,0.0,0.8549560213966002,1.8764414718820963
2023-05-25 09:30:00,1.4391213333333222,3.4404169999999925,4.437750555555543,9.31738277777776,1.0199898002354004,0.0,0.8525511477012008,1.872835395306701
2023-05-25 09:45:00,1.6279305555555246,3.5588995555555654,4.312498888889162,9.499521555555788,1.0365276161326076,0.0,0.8681109140603812,1.9045997650133863
2023-05-25 10:00:00,1.5744963429003351,3.570881038660765,3.7998299281917607,8.945252773393072,1.0154261607432271,0.0,0.8488517881944295,1.8646806292845768
2023-05-25 10:15:00,1.0856149667270178,3.0597704775976577,2.98965149478393,7.134401808627434,1.05190186978513,0.0,0.8830252252653666,1.934706620299112
2023-05-25 10:30:00,1.1388574856687863,3.152865062436333,3.476770874994672,7.768103252900292,1.067607499500118,0.0,0.8958784864048956,1.963195017342029
2023-05-25 10:45:00,1.0996500138926837,3.3745520422338746,4.687093637121392,9.161833064740035,1.091080675552632,0.0,0.9188851959346858,2.01004359002627
2023-05-25 11:00:00,1.066734712010484,3.345313423221329,4.471196494813306,8.884037406428423,1.0994710764800768,0.0,0.9270167522248488,2.026513364000531
2023-05-25 11:15:00,0.934426888889064,3.263255222222354,4.066195333333841,8.26408255555638,1.1549093495672025,0.0,0.9779197881510632,2.1330340705642
2023-05-25 11:30:00,1.0004147818838702,3.358658960822459,4.109477410391936,8.468814226174109,1.5878484697119948,0.0,1.3840749257528873,2.971331818272175
2023-05-25 11:45:00,2.0930375498681983,4.435117961483219,4.266281907386457,10.793814884371804,1.7656372718183917,0.0,1.548008412865963,3.3140125859674576
2023-05-25 12:00:00,2.582904415440039,4.993168342127068,4.510964176617997,12.087141127464747,1.8289458685384496,0.0,1.6077512107439909,3.436632806851668
2023-05-25 12:15:00,2.591783015512975,4.9940819887094,4.386210828110099,11.971798906520124,1.5037149528733873,0.0,1.301586557963942,2.8055754637104786
2023-05-25 12:30:00,2.193439111111448,4.641603888888988,4.219485888889452,11.054500888889894,1.748678941289127,0.0,1.5375288004529937,3.2857879200086013
2023-05-25 12:45:00,0.7749340738684157,3.273999222438235,4.154576950847194,8.202951624549023,1.3924806183002,0.0,1.200076297974933,2.5926237546795208
2023-05-25 13:00:00,0.2289361111111111,2.66686211111112,3.6774468888885545,6.571430222221919,1.3283893424242843,0.0,1.141299404992387,2.469618639506188
2023-05-25 13:15:00,0.4357146666665872,2.819689222222184,3.837646333333167,7.094437999999709,1.5019487867307353,0.0,1.3042722043481323,2.80571857576116
2023-05-25 13:30:00,1.7581766255127491,4.186030426617292,4.003464500427744,9.947773900674749,1.7587657819137532,0.0,1.5447631019724577,3.303548064172085
2023-05-25 13:45:00,3.137622888888905,5.41550433333333,5.289316888888884,13.84243711111112,1.532125228395673,0.0,1.331680694350019,2.863668550437572
2023-05-25 14:00:00,2.6478270630732648,4.832387218671968,4.332457682689759,11.812736426785662,1.102856578014936,0.0,0.927507911459112,2.030595462978397
2023-05-25 14:15:00,2.604545999999872,4.829081222222083,4.462935444443839,11.89712599999914,1.122620308314614,0.0,0.9481947224165648,2.070481765974052
2023-05-25 14:30:00,2.660556987049689,4.854057286923129,4.692216619648811,12.20682489615387,0.971621410003072,0.0,0.8080899995556138,1.7798741724623588
2023-05-25 14:45:00,2.6190479313489843,4.847679575821089,4.5396027211493,12.00610757875623,1.3765595498735743,0.0,1.1866586399545551,2.5628326366427485
2023-05-25 15:00:00,2.369936693396048,4.629490992691902,4.649901263911201,11.649340833870388,1.3646862569185387,0.0,1.1750269818411594,2.5393384798080496
2023-05-25 15:15:00,2.6214983333334017,4.830520666666764,4.470909333332908,11.922622999999763,1.2360810924827998,0.0,1.0561985473191466,2.2931958724975234
2023-05-25 15:30:00,2.476987728151791,4.702737933794191,4.645182966141191,11.824823592183131,1.2023968913949812,0.0,1.0253372555968017,2.227812689739537
2023-05-25 15:45:00,2.5563351111113195,4.568085222222429,4.6136612222218165,11.737854222222252,0.9524438771747668,0.0,0.7885872095451631,1.7411010353947396
2023-05-25 16:00:00,2.6545551111111214,4.082114333333292,4.724083444444225,11.460450888888651,0.923951189359807,0.0,0.7599982260717496,1.6840486283029343
2023-05-25 16:15:00,2.626947288922513,4.881741153735147,4.645398387347581,12.154586285790582,0.6811178573650062,0.0,0.5356028881408114,1.216875993711608
2023-05-25 16:30:00,2.5758340650180185,4.771180994720723,4.577168435676364,11.924115921088925,0.4360064556597411,0.0,0.3093904559042313,0.7453605913533333
2023-05-25 16:45:00,2.432096417661673,4.084925187447524,4.441491141349193,10.958703138016316,0.3237258780527019,0.0,0.2056835885384699,0.5292351553230757
2023-05-25 17:00:00,2.372724555555317,3.900280777777556,4.254206555555222,10.527217777776976,0.3167860721349189,0.0,0.1983513783638836,0.5152330590679941
2023-05-25 17:15:00,2.5565130833019483,4.4836130810786985,4.84216024543725,11.882572308308378,0.2392113689662265,0.0,0.1299777695530227,0.3691308155779631
2023-05-25 17:30:00,2.6375158032727946,4.34448746292204,4.440623021118966,11.422453090108943,0.1947047264666085,0.0,0.0907812577093072,0.2853997095200509
2023-05-25 17:45:00,2.452326464871008,3.915230213829653,4.61818306026118,10.985650319356155,0.1487738054080716,0.0,0.0531660530583637,0.2019544795253381
2023-05-25 18:00:00,2.439581050596185,4.617106915443396,4.2411012701833215,11.297510307044238,0.0961301544461593,0.0,0.0255588240980552,0.1023218323534967
2023-05-25 18:15:00,2.342695055158801,3.804017752991229,2.7738353348962312,8.920293068779202,0.0547493692001713,0.0,0.0438605685644678,0.0509610551116556
2023-05-25 18:30:00,2.554620555555561,4.448380666666695,2.5043464444446792,9.506881111111378,0.0444699999999999,0.0,0.08468,0.05164
2023-05-25 18:45:00,2.746847888888812,3.759556666666642,2.7582115555556386,9.264510777777751,0.04447,0.0,0.08468,0.05164
2023-05-25 19:00:00,2.490542340099081,3.502389786799059,2.5644249794360205,8.555903937218307,0.04447,0.0,0.08468,0.05164
2023-05-25 19:15:00,2.354849077355312,3.751955717507089,2.405568862275538,8.511132058702161,0.04447,0.0,0.08468,0.05164
2023-05-25 19:30:00,2.383164800248577,3.576284162111618,2.4189573612406865,8.37832211260678,0.04447,0.0,0.08468,0.05164
2023-05-25 19:45:00,2.297548576316949,3.609700043327292,2.4173571595213748,8.323769566618513,0.04447,0.0,0.08468,0.05164
2023-05-25 20:00:00,2.5001051111108725,3.181698333333184,2.582566666666294,8.264645888888142,0.04447,0.0,0.08468,0.05164
2023-05-25 20:15:00,2.5389601111111024,4.581996777777787,2.700577444444421,9.82177577777776,0.04447,0.0,0.08468,0.05164
2023-05-25 20:30:00,2.3899997777160684,3.095593442623008,2.439708030008372,7.925338260628092,0.04447,0.0,0.08468,0.05164
2023-05-25 20:45:00,2.492361574012492,3.2308764386971207,2.577131160289889,8.301108741057076,0.04447,0.0,0.08468,0.05164
2023-05-25 21:00:00,2.219470853014692,3.8468460127813047,2.2098370658516653,8.275998332870223,0.0444699999999999,0.0,0.08468,0.05164
2023-05-25 21:15:00,2.335456595390081,2.9968730908080468,2.4397505137462647,7.771803943349002,0.04447,0.0,0.08468,0.0516399999999999
2023-05-25 21:30:00,1.896918366893192,3.6899716628882735,2.4556769791529978,8.042521002800285,0.04447,0.0,0.08468,0.05164
2023-05-25 21:45:00,1.062851763399185,4.502847209108719,2.515827048042345,8.081252874202004,0.04447,0.0,0.08468,0.0516399999999999
2023-05-25 22:00:00,1.0662292968140792,3.686390809452928,2.5015464307151607,7.254201440608139,0.04447,0.0,0.0846799999999999,0.05164
2023-05-25 22:15:00,0.8729327777779454,2.8465243333334724,2.0652606666665525,5.785379444444655,0.04447,0.0,0.0846799999999999,0.05164
2023-05-25 22:30:00,0.8102989169674072,2.856248264370915,1.9319095806723685,5.59846398222729,0.04447,0.0,0.08468,0.05164
2023-05-25 22:45:00,0.3134266161554595,2.3257445035717184,0.9371552997897966,3.574648884049875,0.04447,0.0,0.08468,0.0516399999999999
2023-05-25 23:00:00,0.2960769999999863,2.32614566666667,0.9976424444446754,3.617856111111316,0.04447,0.0,0.0846799999999999,0.05164
2023-05-25 23:15:00,0.2815783390934169,2.3207138808939094,1.1818029270893151,3.782933757098092,0.04447,0.0,0.08468,0.05164
2023-05-25 23:30:00,0.3385076600046856,2.318164042971573,1.1469591059065445,3.802305222578589,0.04447,0.0,0.08468,0.05164
2023-05-25 23:45:00,0.2883067554202263,2.3172650493960205,1.1704732905863957,3.775510462622348,0.04447,0.0,0.08468,0.05164
2023-05-26 00:00:00,0.2722617009449843,2.308729738743749,1.4955953307395358,4.075144413563342,0.04447,0.0,0.08468,0.05164
2023-05-26 00:15:00,0.303905564137085,2.306279795970535,1.1627171702580166,3.7713621967618898,0.04447,0.0,0.08468,0.05164
2023-05-26 00:30:00,0.2806520410997069,2.310028658705926,1.4217498472647654,4.012207497917374,0.04447,0.0,0.08468,0.05164
2023-05-26 00:45:00,0.3081852539376701,2.3093356157531475,1.1570541222506046,3.773084379133929,0.04447,0.0,0.0846799999999999,0.05164
2023-05-26 01:00:00,0.2553519108810828,2.3097055654897454,1.5120449370817954,4.077204149405612,0.04447,0.0,0.08468,0.0516399999999999
