datetime,PLa,PLb,PLc,PLtot,PVa,PVb,PVc,PVtot
2023-10-07 00:00:00,0.2874792065115861,0.0,0.2745380954498957,0.5843693012498331,0.04709,0.0,0.1069,0.06223
2023-10-07 00:15:00,0.2110180565586976,0.0,0.28,0.5124643591310629,0.04709,0.0,0.1069,0.06223
2023-10-07 00:30:00,0.2100846534983447,0.0,0.2532414957673251,0.4888164063367921,0.04709,0.0,0.1069,0.06223
2023-10-07 00:45:00,0.2499528972627088,0.0,0.28,0.551052590650551,0.04709,0.0,0.1069,0.06223
2023-10-07 01:00:00,0.2107796248555427,0.0,0.2645112898924348,0.4973114276824606,0.04709,0.0,0.1069,0.06223
2023-10-07 01:15:00,0.2489014970492457,0.0,0.2716643142136322,0.5425416495326582,0.04709,0.0,0.1069,0.06223
2023-10-07 01:30:00,0.2101242974251882,0.0,0.2757978806122676,0.5070929509252882,0.04709,0.0,0.1069,0.06223
2023-10-07 01:45:00,0.2483954307557256,0.0,0.261819252608536,0.5317588034624917,0.04709,0.0,0.1069,0.06223
2023-10-07 02:00:00,0.2113493006876479,0.0,0.28,0.5140240176855483,0.04709,0.0,0.1069,0.06223
2023-10-07 02:15:00,0.2501020079339497,0.0,0.2581298545442422,0.5285467758603439,0.04709,0.0,0.1069,0.06223
2023-10-07 02:30:00,0.2109617457195872,0.0,0.28,0.5138626490228104,0.04709,0.0,0.1069,0.06223
2023-10-07 02:45:00,0.2506709112525964,0.0,0.2651506161316488,0.5369664544373695,0.04709,0.0,0.1069,0.06223
2023-10-07 03:00:00,0.2122601073226011,0.0,0.2729501494295016,0.5073076025730757,0.04709,0.0,0.1069,0.06223
2023-10-07 03:15:00,0.2135133753431352,0.0,0.2751945453939252,0.5114551173051489,0.04709,0.0,0.1069,0.06223
2023-10-07 03:30:00,0.2521538427345883,0.0,0.2629756189714183,0.5362071609547953,0.04709,0.0,0.1069,0.06223
2023-10-07 03:45:00,0.2137704535608358,0.0,0.28,0.5170501327468038,0.04709,0.0,0.1069,0.06223
2023-10-07 04:00:00,0.2521273852787869,0.0,0.2583909578901743,0.5319920203603057,0.04709,0.0,0.1069,0.06223
2023-10-07 04:15:00,0.2141532907525686,0.0,0.3539176895306854,0.5940378783671196,0.04709,0.0,0.1069,0.06223
2023-10-07 04:30:00,0.2520050233943479,0.0,0.3455491836984184,0.6241056246457509,0.04709,0.0,0.1069,0.06223
2023-10-07 04:45:00,0.2150742073807461,0.0,0.3537731342620366,0.5949645626430271,0.04709,0.0,0.1069,0.06223
2023-10-07 05:00:00,0.2492885639036758,0.0,0.3557494971495882,0.6321987620434064,0.04709,0.0,0.1069,0.06223
2023-10-07 05:15:00,0.2122078773401476,0.0,0.3472503749791679,0.5845814121437698,0.04709,0.0,0.1069,0.06223
2023-10-07 05:30:00,0.2493308149547242,0.0,0.3638160102216544,0.6384324204210873,0.04709,0.0,0.1069,0.06223
2023-10-07 05:45:00,0.2209390834740865,0.0,0.323360632056183,0.5724482176193441,0.04709,0.0,0.1069,0.06223
2023-10-07 06:00:00,0.2926376557134765,0.0,0.28,0.5965456889175348,0.04709,0.0,0.1069,0.06223
2023-10-07 06:15:00,0.2033225924732508,0.0,0.189620995788842,0.4146668296314416,0.04709,0.0,0.1069,0.06223
2023-10-07 06:30:00,0.2320645218627798,0.0,0.160367712406683,0.4141333762886595,0.04709,0.0,0.0906305055555555,0.0643973638888888
2023-10-07 06:45:00,0.2575027502750279,0.0,0.17,0.4511203342556484,0.0709831824493196,0.0,0.0584110747014718,0.0656243626770341
2023-10-07 07:00:00,0.2200579864698235,0.0,0.1484301440774928,0.3885415625242994,0.140767625,0.0,0.0491459777777777,0.1866745833333333
2023-10-07 07:15:00,0.2551963235866141,0.0,0.17,0.4465727558652572,0.2328595554320644,0.0,0.1254198527368713,0.3583828896915809
2023-10-07 07:30:00,0.2171463008220392,0.0,0.150815374361253,0.3858696956231945,0.2065765472222222,0.0,0.1035649666666666,0.3100515083333333
2023-10-07 07:45:00,0.2583369071294455,0.0,0.1674829735465017,0.4460384192340592,0.2863181755068037,0.0,0.1731092585392946,0.4594230102749236
2023-10-07 08:00:00,0.2215337416493445,0.0,0.1619269032824605,0.4037010771094784,0.3390788555555555,0.0,0.2199830611111111,0.5589537888888889
2023-10-07 08:15:00,0.2570701662797541,0.0,0.156496684401693,0.4348650990236475,0.3755093609335926,0.0,0.2523178521811614,0.6279466129480411
2023-10-07 08:30:00,0.2150526198810921,0.0,0.17,0.410053342223704,0.468038571825507,0.0,0.3394215143095304,0.8073059349819395
2023-10-07 08:45:00,0.2518555108572414,0.0,0.1481726046273862,0.421271975640652,0.6663078428650749,0.0,0.5220066324264298,1.1883229372570794
2023-10-07 09:00:00,0.2103869226154766,0.0,0.17,0.4011167766446707,0.5374321138888889,0.0,0.4038815916666666,0.9413257583333332
2023-10-07 09:15:00,0.2496610998144406,0.0,0.1533937797926598,0.4231036590108584,0.5032374145120935,0.0,0.3732480650542119,0.8765129469001947
2023-10-07 09:30:00,0.2100268856028707,0.0,0.1956878603726222,0.4264277699392307,0.8972111074104913,0.0,0.7404985956147654,1.6376024007771304
2023-10-07 09:45:00,0.2101911196053157,0.0,0.1642748566602961,0.3944078625716699,1.12413193109197,0.0,0.952962936926924,2.0773423089747154
2023-10-07 10:00:00,1.2587810732423,0.0,0.1855611241373944,1.4649824978608643,0.9799827813281468,0.0,0.8181127090858572,1.797958599611003
