datetime,PLa,PLb,PLc,PLtot,PVa,PVb,PVc,PVtot
2023-05-08 00:00:00,1.6590061145080597,0.1244871595330735,0.5689976653696499,2.349730072262368,0.04302,0.0,0.10371,0.0593499999999999
2023-05-08 00:15:00,1.6819721345717962,0.1220651304386472,0.5748377849873352,2.378892493666948,0.04302,0.0,0.10371,0.05935
2023-05-08 00:30:00,1.6602125673648531,0.1199999999999999,0.5825783654647484,2.367100283349074,0.04302,0.0,0.10371,0.05935
2023-05-08 00:45:00,1.678816508867851,0.12,0.5820287149397696,2.384742965728765,0.04302,0.0,0.10371,0.0593499999999999
2023-05-08 01:00:00,1.6387672708694296,0.1199999999999999,0.5808318894664353,2.343411524279177,0.04302,0.0,0.10371,0.05935
2023-05-08 01:15:00,1.644708183748096,0.1199999999999999,0.5866175767747384,2.353392871036223,0.04302,0.0,0.10371,0.05935
2023-05-08 01:30:00,1.6738909567671456,0.12,0.59,2.3858267130365203,0.04302,0.0,0.10371,0.05935
2023-05-08 01:45:00,1.6664302461247835,0.12,0.645211067281516,2.4322281237846544,0.04302,0.0,0.10371,0.0593499999999999
2023-05-08 02:00:00,1.7755058763413385,0.12,0.67,2.5655810801803995,0.04302,0.0,0.10371,0.05935
2023-05-08 02:15:00,1.7311929450205048,0.12,0.6475077518087553,2.5000583469476214,0.04302,0.0,0.10371,0.05935
2023-05-08 02:30:00,1.725843702781976,0.12,0.6396187005599503,2.486646631410543,0.04302,0.0,0.10371,0.05935
2023-05-08 02:45:00,1.7457224438099257,0.1199999999999999,0.6216314286666591,2.49005832879665,0.04302,0.0,0.10371,0.05935
2023-05-08 03:00:00,1.6759480421352069,0.1199999999999999,0.6141434063736165,2.4116536290501807,0.04302,0.0,0.10371,0.05935
2023-05-08 03:15:00,1.702888446879202,0.1199999999999999,0.5638060738057402,2.388901803473604,0.04302,0.0,0.10371,0.05935
2023-05-08 03:30:00,1.658694855187584,0.12,0.5800846544388032,2.3642128359237,0.04302,0.0,0.10371,0.05935
2023-05-08 03:45:00,1.7013186556713875,0.1199999999999999,0.5743034964102337,2.399297828358044,0.04302,0.0,0.10371,0.05935
2023-05-08 04:00:00,1.6516992745169927,0.12,0.5644212245442123,2.3387010187870105,0.04302,0.0,0.10371,0.05935
2023-05-08 04:15:00,1.6362386931881323,0.1199999999999999,0.5765408378708751,2.255086676297367,0.04302,0.0,0.10371,0.0593499999999999
2023-05-08 04:30:00,1.6628740791768963,1.2249550560549234,0.4767890356773815,3.3546302818857456,0.04302,0.0,0.10371,0.05935
2023-05-08 04:45:00,1.4013418725559947,1.4249531194454317,0.4943873311411303,3.319391774795597,0.04302,0.0,0.10371,0.05935
2023-05-08 05:00:00,0.9788373617825366,1.42863121631383,0.4951235205867644,2.900338723120538,0.04302,0.0,0.10371,0.05935
2023-05-08 05:15:00,0.9618787138335216,1.430752596212583,0.4822080302104735,2.8727545954351204,0.04302,0.0,0.10371,0.05935
2023-05-08 05:30:00,1.002384704287298,1.4366690374058186,0.4365729113417641,2.8749180983708222,0.04302,0.0,0.10371,0.05935
2023-05-08 05:45:00,1.0779212727898997,1.4345634228448896,0.2795109269279061,2.790186985456693,0.04302,0.0,0.10371,0.05935
2023-05-08 06:00:00,0.9245699456527756,1.43296275714905,0.2307024017248852,2.5905007946475176,0.04302,0.0,0.10371,0.05935
2023-05-08 06:15:00,0.864350453172218,1.4307771681180028,0.1544865159054561,2.450325439843624,0.0472150958599611,0.0,0.0706180466796332,0.0507233036954709
2023-05-08 06:30:00,1.3257384829118992,1.4323539872186717,0.2749694915254228,3.034735537649325,0.0833593803834398,0.0,0.0630217504862461,0.0834907557654904
2023-05-08 06:45:00,1.5823471950568992,2.317670808143674,1.639574257645788,5.538948590860586,0.1303290505274847,0.0,0.0408492809550249,0.1668896085508051
2023-05-08 07:00:00,1.6153265276651512,0.9839391044510684,0.5087760905546214,3.1098946935782754,0.215966528627015,0.0,0.1104358893829905,0.326327932184547
2023-05-08 07:15:00,1.5724645555555554,1.0652807777777862,0.6629156666666658,3.3020658888888965,0.2981123431426985,0.0,0.1833532481954469,0.4815656940588562
2023-05-08 07:30:00,1.6418447432762855,2.757421871527026,1.7606291398088485,6.159831740386774,0.4976900639066407,0.0,0.3645690914142818,0.8626792386774104
2023-05-08 07:45:00,1.6129318563127082,2.6738605126609576,1.5686040155109355,5.855785046832797,0.6139707196443457,0.0,0.4735283134203945,1.0872010530702974
2023-05-08 08:00:00,1.6169643333333332,2.673197222222232,1.838169111111116,6.12829866666668,0.6994706192724244,0.0,0.5541619327964454,1.253679130797001
2023-05-08 08:15:00,1.646825462057934,2.6791797360938405,1.5672270970321642,5.892678047805226,0.4374631111111111,0.0,0.3106436611111111,0.7479987
2023-05-08 08:30:00,1.601210036782274,1.7655266754825836,1.8152117481025447,5.181965573570127,0.818611186440678,0.0,0.6633947207557656,1.481498566268408
2023-05-08 08:45:00,1.6480079114627315,1.8617327436774889,1.5945100893373032,5.103772612116087,0.8574398528595224,0.0,0.7016382037756802,1.5592116435313714
2023-05-08 09:00:00,1.600778248163827,2.190660133115557,1.5633773348000573,5.354385146171554,0.5758337882156754,0.0,0.4382111423012785,1.0144041939966648
2023-05-08 09:15:00,1.6406606960309378,1.824821880972472,1.813658607049203,5.279516978532368,0.8833849597334074,0.0,0.7249599333518467,1.6078088558733683
2023-05-08 09:30:00,1.6280710253788997,1.8338783945953003,1.704043513045007,5.165834814880623,1.1251274249999998,0.0,0.9514889444444444,2.076953075
