datetime,PARAM_PV,PARAM_PL,Buy_rate,Sell_rate,Pnet,u1,s1,Pchg_1,Pchg_2,Pdchg_1,Pdchg_2,xchg_1,xchg_2,xdchg_1,xdchg_2,soc_1,soc_2,uPnet,uPchg,uPdchg,upper_bound_Pchg,upper_bound_Pdchg
2023-11-01 00:00:00,0.007373280345461875,2.2541938,2.6,2,-16.713635186806886,3.621287623808158,0.0,7.2334073335761735,7.2334073335761735,0.0,0.0,1.0,1.0,0.0,0.0,50.0,50.0,0.0,0.09544900218536619,0.0,0.013752240172729987,0.0
2023-11-01 00:05:00,0.00633793185018,2.4635582,2.6,2,-16.713635186806886,3.621287623808158,0.0,7.128207459328531,7.128207459328533,0.0,0.0,1.0,1.0,0.0,0.0,50.458115797793155,50.458115797793155,0.0,0.20064887643300705,0.0,0.005796666897170239,0.0
2023-11-01 00:10:00,0.00670281723272,2.148976,2.6,2,-16.713635186806886,3.621287623808158,0.0,7.2856810020198015,7.2856810020198015,0.0,0.0,1.0,1.0,0.0,0.0,50.909568936883964,50.909568936883964,0.0,0.04317533374173818,0.0,0.13016380861635965,0.0
2023-11-01 00:15:00,0.0,2.0936403,2.6,2,-16.497388184862725,3.5744341067202563,0.0,7.201873942431362,7.201873942431361,0.0,0.0,1.0,1.0,0.0,0.0,51.370995400345215,51.370995400345215,0.0,0.12698239333017763,0.0,0.0,0.0
2023-11-01 00:20:00,0.0,2.184805,2.6,2,-16.497388184862725,3.5744341067202563,0.0,7.156291592431361,7.156291592431361,0.0,0.0,1.0,1.0,0.0,0.0,51.82711408336587,51.82711408336587,0.0,0.17256474333017902,0.0,0.0033014066698165588,0.0
2023-11-01 00:25:00,0.0,2.3347747,2.6,2,-16.497388184862725,3.5744341067202563,0.0,7.081306742431361,7.081306742431361,0.0,0.0,1.0,1.0,0.0,0.0,52.280345884219855,52.280345884219855,0.0,0.2475495933301785,0.0,0.11764289999999941,0.0
2023-11-01 00:30:00,0.0,2.2181592,2.6,2,-16.377327371523094,3.54842093049667,0.0,7.079584085761545,7.079584085761545,0.0,0.0,1.0,1.0,0.0,0.0,52.72882864457384,52.72882864457384,0.0,0.2492722499999985,0.0,0.0,0.0
2023-11-01 00:35:00,0.0,2.1130776,2.6,2,-16.377327371523094,3.54842093049667,0.0,7.132124885761546,7.132124885761546,0.0,0.0,1.0,1.0,0.0,0.0,53.17720230333874,53.17720230333874,0.0,0.19673144999999798,0.0,0.055680149999955096,0.0
2023-11-01 00:40:00,0.0,2.4107327,2.6,2,-16.377327371523094,3.54842093049667,0.0,6.983297335761545,6.983297335761545,0.0,0.0,1.0,1.0,0.0,0.0,53.628903546103636,53.628903546103636,0.0,0.3455589999999974,0.0,0.05284289999999929,0.0
2023-11-01 00:45:00,0.0,2.1180592,2.6,2,-16.244894471523182,3.519727135496689,0.0,7.063417635761591,7.063417635761591,0.0,0.0,1.0,1.0,0.0,0.0,54.0711790440352,54.0711790440352,0.0,0.26543869999999636,0.0,0.0,0.0
2023-11-01 00:50:00,0.0,1.9084017,2.6,2,-16.244894471523182,3.519727135496689,0.0,7.168246385761591,7.168246385761591,0.0,0.0,1.0,1.0,0.0,0.0,54.51852882763343,54.51852882763343,0.0,0.16060994999999556,0.0,0.16179154999999715,0.0
