datetime,PV,PL,Buy_rate,Sell_rate,Pchg_1,Pchg_2,Pdchg_1,Pdchg_2,s,soc_1,soc_2,u,xchg_1,xchg_2,xdchg_1,xdchg_2,Pnet
01-Nov-2023 00:00:00,0.00737328034546226,2.2541938,2.6,2,7.21965509340351,7.21965509340351,0,0,0,50,50,3.61532831973334,1,1,-0,-0,-16.6861307064616
01-Nov-2023 00:05:00,0.00633793185018003,2.4635582,2.6,2,7.1224107924314,7.1224107924314,0,0,0,50.4572448225822,50.4572448225822,3.6187757348194,1,1,0,-0,-16.7020418530126
01-Nov-2023 00:10:00,0.00670281723272055,2.148976,2.6,2,7.1555171934035,7.1555171934035,0,0,0,50.9083308394362,50.9083308394362,3.56488330674109,1,1,-0,0,-16.4533075695743
01-Nov-2023 00:15:00,0,2.0936403,2.6,2,7.20187394243142,7.20187394243142,0,0,0,51.3615135950184,51.3615135950184,3.57443410672028,1,1,-0,0,-16.4973881848628
01-Nov-2023 00:20:00,0,2.184805,2.6,2,7.15299018576155,7.15299018576167,0,0,0,51.8176322780391,51.8176322780391,3.57300349716336,1,1,0,0,-16.4907853715232
01-Nov-2023 00:25:00,0,2.3347747,2.6,2,6.96366384243153,6.96366384243131,0,0,0,52.270654989804,52.270654989804,3.52345551672028,1,1,-0,0,-16.2621023848628
01-Nov-2023 00:30:00,0,2.2181592,2.6,2,7.07958408576164,7.07958408576153,0,0,0,52.711687033158,52.711687033158,3.54842093049669,1,1,0,0,-16.3773273715232
01-Nov-2023 00:35:00,0,2.1130776,2.6,2,7.07644473576215,7.07644473576215,0,0,0,53.1600606919229,53.1600606919229,3.52429286549693,1,1,-0,-0,-16.2659670715243
01-Nov-2023 00:40:00,0,2.4107327,2.6,2,6.93045443576145,6.93045443576145,0,0,0,53.6082355251878,53.6082355251878,3.52552234049663,1,1,-0,0,-16.2716415715229
01-Nov-2023 00:45:00,0,2.1180592,2.6,2,7.0634176357616,7.0634176357616,0,0,0,54.0471643061194,54.0471643061194,3.51972713549669,1,1,0,0,-16.2448944715232
01-Nov-2023 00:50:00,0,1.9084017,2.6,2,7.00645483576173,7.00645483576173,0,0,0,54.4945140897176,54.4945140897176,3.44961746383008,1,1,0,-0,-15.9213113715235
01-Nov-2023 00:55:00,0,2.1148121,2.6,2,7.06504118576155,7.06504118576166,0,0,0,54.9382562293159,54.9382562293158,3.5197271354967,1,1,-0,0,-16.2448944715232
01-Nov-2023 01:00:00,0,2.3445997,2.6,2,6.8440967857616,6.8440967857616,0,0,0,55.3857088377474,55.3857088377474,3.47377187549669,1,1,0,0,-16.0327932715232
01-Nov-2023 01:05:00,0,1.9162347,2.6,2,7.01925653576162,7.01925653576158,0,0,0,55.8191683008457,55.8191683008457,3.45686201716336,1,1,0,0,-15.9547477715232
01-Nov-2023 01:10:00,0,2.1822777,2.6,2,6.91490213576142,6.91490213576142,0,0,0,56.2637212147772,56.2637212147772,3.46928442716328,1,1,-0,0,-16.0120819715228
01-Nov-2023 01:15:00,0.00481271551754326,2.1909466,2.6,2,6.95779879352037,6.95779879352037,0,0,0,56.7016650167088,56.7016650167088,3.48870848549669,1,1,0,0,-16.1017314715232
01-Nov-2023 01:20:00,0,2.2443728,2.6,2,6.9286793357616,6.9286793357616,0,0,0,57.1423256069651,57.1423256069651,3.48870848549669,1,1,0,0,-16.1017314715232
01-Nov-2023 01:25:00,0,2.3728852,2.6,2,6.78342943367651,6.78342943367651,0,0,0,57.5811419648966,57.5811419648966,3.45361121459315,1,1,-0,0,-15.939744067353
01-Nov-2023 01:30:00,0.00516985633391887,2.7012331,2.6,2,6.79073871392856,6.79073871392856,0,0,0,58.0107591623628,58.0107591623628,3.52680047883003,1,1,0,0,-16.2775406715232
01-Nov-2023 01:35:00,0,2.8888931,2.6,2,6.64678270046233,6.64678270046233,0,0,0,58.4408392809116,58.4408392809116,3.50619934186701,1,1,0,-0,-16.1824585009247
01-Nov-2023 01:40:00,0,2.826135,2.6,2,6.65850398648863,6.65850398648863,0,0,0,58.8618021852742,58.8618021852742,3.49768097747841,1,1,-0,0,-16.1431429729773
01-Nov-2023 01:45:00,0.00781463622786105,2.767059,2.6,2,6.68899901857633,6.6889990185764,0,0,0,59.2835074377519,59.2835074377518,3.49640252020039,1,1,0,0,-16.1372424009249
01-Nov-2023 01:50:00,0.00149469916010275,2.4589522,2.6,2,6.8216900232266,6.82169002322665,0,0,0,59.7071440422617,59.7071440422617,3.48851480191352,1,1,-0,0,-16.1008375472931
01-Nov-2023 01:55:00,0.00203450489211828,2.7044551,2.6,2,6.69724178079872,6.69724178079872,0,0,0,60.1391844103994,60.1391844103994,3.48766256728615,1,1,0,0,-16.0969041567053
01-Nov-2023 02:00:00,0.0069833229906857,2.8057733,2.6,2,6.59375651320643,6.59375651320643,0,0,0,60.5633430565166,60.5633430565166,3.4636989840748,1,1,0,0,-15.9863030034222
01-Nov-2023 02:05:00,0.00470918802861124,2.5777164,2.6,2,6.72746571272144,6.72746571272144,0,0,0,60.9809476356864,60.9809476356864,3.47272003810642,1,1,0,0,-16.0279386374143
01-Nov-2023 02:10:00,0.00347947244178504,2.577155,2.6,2,6.7375139219825,6.7375139219825,0,0,0,61.4070204641587,61.4070204641587,3.47721906383003,1,1,0,0,-16.0487033715232
01-Nov-2023 02:15:00,0.0096330410476774,3.0590868,2.6,2,6.46000796583242,6.46000796583242,0,0,0,61.8337296792176,61.8337296792176,3.46005176630038,1,1,0,0,-15.9694696906172
01-Nov-2023 02:20:00,0.00380060118958354,3.116426,2.6,2,6.44452240664286,6.44452240664286,0,0,0,62.2428635170537,62.2428635170537,3.46702854595416,1,1,-0,0,-16.0016702120961
01-Nov-2023 02:25:00,0.00548960954099894,2.7397256,2.6,2,6.6240879433166,6.6240879433166,0,0,0,62.6510166028077,62.6510166028077,3.46285590670331,1,1,-0,-0,-15.9824118770922
01-Nov-2023 02:30:00,0.00435028863921762,2.4846153,2.6,2,6.78780523008121,6.78780523008121,0,0,0,63.0705421725511,63.0705421725511,3.47877301883003,1,1,0,0,-16.0558754715232
01-Nov-2023 02:35:00,0.00777620782088488,2.4213405,2.6,2,6.82115558967206,6.82115558967206,0,0,0,63.5004365037896,63.5004365037896,3.47877301883004,1,1,0,0,-16.0558754715232
01-Nov-2023 02:40:00,0.00362721554785967,1.8481431,2.6,2,7.0286264027166,7.0286264027166,0,0,0,63.9324430244688,63.9324430244688,3.44538321614183,1,1,-0,0,-15.9017686898854
01-Nov-2023 02:45:00,0.00457610422968864,2.1409168,2.6,2,6.93700878787637,6.93700878787641,0,0,0,64.3775893633075,64.3775893633075,3.46891095883,1,1,0,-0,-16.0103582715231
01-Nov-2023 02:50:00,0.00432190861813724,2.2658958,2.6,2,6.87439219007069,6.87439219007062,0,0,0,64.8169332532064,64.8169332532064,3.46891095883002,1,1,0,0,-16.0103582715232
01-Nov-2023 02:55:00,0.00382168015558273,2.395342,2.6,2,6.80941897583938,6.80941897583938,0,0,0,65.2523114252442,65.2523114252442,3.46891095883002,1,1,0,-0,-16.0103582715232
01-Nov-2023 03:00:00,0.00284169811187312,2.136815,2.6,2,6.84709014334367,6.84709014334367,0,0,0,65.6835746270473,65.6835746270473,3.42943327752468,1,1,0,-0,-15.8281535885755
01-Nov-2023 03:05:00,0,1.8830738,2.6,2,7.04294199410221,7.04294199410221,0,0,0,66.1172236694591,66.1172236694591,3.45994085411096,1,1,0,-0,-15.9689577882044
01-Nov-2023 03:10:00,0.00169825293207541,1.410939,2.6,2,7.28730306222762,7.28730306222763,0,0,0,66.5632766624189,66.5632766624189,3.46316682216335,1,1,0,0,-15.9838468715232
01-Nov-2023 03:15:00,0.00135046265143901,1.0657489,2.6,2,7.32885633576161,7.32885633576158,0,0,0,67.02480585636,67.02480585636,3.40645740692221,1,1,0,0,-15.7221111088717
01-Nov-2023 03:20:00,0,1.1210703,2.6,2,1.12176064476855,1.12176064476855,0,0,0,67.4889667576249,67.4889667576249,0.728994844399705,1,1,-0,-0,-3.3645915895371
01-Nov-2023 03:25:00,0,1.0602225,2.6,2,7.3288563357616,7.32885633576187,0,0,0,67.5600115984602,67.5600115984602,3.40555262049675,1,1,-0,0,-15.7179351715235
01-Nov-2023 03:30:00,0,1.0038373,2.6,2,1.16975694476854,1.16975694476854,0,0,0,68.0241724997251,68.0241724997252,0.724392757733034,1,1,0,0,-3.34335118953708
01-Nov-2023 03:35:00,0,0.9022966,2.6,2,1.16975694476854,1.16975694476839,0,0,0,68.0982571062272,68.0982571062272,0.702392272733001,1,1,0,0,-3.24181048953693
01-Nov-2023 03:40:00,0,0.9208649,2.6,2,1.16975694476854,1.16975694476854,0,0,0,68.1723417127292,68.1723417127292,0.7064154043997,1,1,-0,0,-3.26037878953708
01-Nov-2023 03:45:00,0,0.9262714,2.6,2,1.16975694476852,1.16975694476852,0,0,0,68.2464263192312,68.2464263192312,0.707586812733026,1,1,0,-0,-3.26578528953704
01-Nov-2023 03:50:00,0,0.8714489,2.6,2,1.16975694476852,1.16975694476852,0,0,0,68.3205109257332,68.3205109257332,0.695708604399693,1,1,0,0,-3.21096278953704
01-Nov-2023 03:55:00,0,0.859115,2.6,2,1.16975694476853,1.16975694476853,0,0,0,68.3945955322352,68.3945955322352,0.693036259399696,1,1,0,-0,-3.19862888953706
01-Nov-2023 04:00:00,0,0.78734183,2.6,2,1.16975694476852,1.16975694476861,0,0,0,68.4686801387372,68.4686801387372,0.677485405899713,1,1,0,0,-3.12685571953714
01-Nov-2023 04:05:00,0,0.77230036,2.6,2,1.07909691475379,1.07909691475368,0,0,0,68.5427647452392,68.5427647452392,0.634940407726617,1,1,0,0,-2.93049418950747
01-Nov-2023 04:10:00,0,0.76824427,2.6,2,1.16975694476852,1.16975694476895,0,0,0,68.6111075498403,68.6111075498403,0.673347601233119,1,1,0,0,-3.10775815953747
01-Nov-2023 04:15:00,0,0.81350034,2.6,2,1.0619706647537,1.0619706647537,0,0,0,68.6851921563423,68.6851921563423,0.636445695059937,1,1,0,0,-2.9374416695074
01-Nov-2023 04:20:00,0,0.8322274,2.6,2,1.05754981475374,1.05754981475363,0,0,0,68.7524502984434,68.7524502984434,0.638587523059931,1,1,0,0,-2.94732702950737
01-Nov-2023 04:25:00,0,0.80786544,2.6,2,1.05752393975364,1.05752393975364,0,0,0,68.8194284533778,68.8194284533778,0.633297885893242,1,1,0,0,-2.92291331950727
01-Nov-2023 04:30:00,0,0.79651356,2.6,2,1.09431143845706,1.09431143845711,0,0,0,68.8864049695622,68.8864049695622,0.646779561331403,1,1,0,-0,-2.98513643691417
01-Nov-2023 04:35:00,0,0.7889326,2.6,2,1.06370291823126,1.06370291823122,0,0,0,68.9557113606645,68.9557113606645,0.631873327900203,1,1,0,0,-2.91633843646247
01-Nov-2023 04:40:00,0,0.7913623,2.6,2,1.09223891845705,1.09223891845712,0,0,0,69.0230792121524,69.0230792121524,0.64476536299807,1,1,0,0,-2.97584013691417
