datetime,Ia (A),Ib (A),Ic (A),Pa (kW),Pb (kW),Pc (kW),Ptot (kW),VAa (kVA),VAb (kVA),VAc (kVA),VAtot (kVA)
2024-01-28 00:00:00,0.4799999999999999,0.44,0.45999999999999996,0.04404,0.0,0.10235,0.059840000000000004,0.0,0.0,0.0,0.0
2024-01-28 00:05:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 00:10:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 00:15:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 00:20:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 00:25:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 00:30:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 00:35:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 00:40:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 00:45:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 00:50:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 00:55:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:00:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:05:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:10:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:15:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:20:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:25:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 01:30:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:35:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:40:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:45:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:50:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 01:55:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 02:00:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 02:05:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 02:10:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 02:15:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 02:20:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 02:25:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 02:30:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 02:35:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 02:40:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 02:45:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 02:50:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 02:55:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:00:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:05:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:10:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:15:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 03:20:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:25:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 03:30:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:35:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:40:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:45:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:50:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 03:55:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 04:00:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 04:05:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 04:10:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 04:15:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 04:20:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 04:25:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 04:30:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 04:35:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 04:40:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 04:45:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 04:50:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 04:55:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 05:00:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 05:05:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 05:10:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 05:15:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 05:20:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 05:25:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 05:30:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 05:35:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 05:40:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 05:45:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 05:50:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 05:55:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:00:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:05:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 06:10:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:15:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:20:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:25:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:30:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:35:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:40:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:45:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05983999999999999,0.0,0.0,0.0,0.0
2024-01-28 06:50:00,0.4799999999999999,0.44,0.4600000000000001,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 06:55:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 07:00:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 07:05:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 07:10:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 07:15:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 07:20:00,0.48,0.44,0.46,0.04404,0.0,0.10235,0.05984,0.0,0.0,0.0,0.0
2024-01-28 07:25:00,0.31208681135225375,0.26387312186978296,0.19819699499165275,0.0445761101836394,0.0,0.0715383305509182,0.04240479131886478,0.0,0.0,0.0,0.0
2024-01-28 07:30:00,0.3095833333333333,0.27663333333333334,0.2623,0.06645213333333334,0.0,0.07,0.06587198333333333,0.0,0.0,0.0,0.0
2024-01-28 07:35:00,0.3188685524126456,0.2877537437603993,0.29108153078203,0.0697547088186356,0.0,0.07,0.0697547088186356,0.0,0.0,0.0,0.0
2024-01-28 07:40:00,0.3333833333333333,0.2946,0.3067166666666667,0.07662843333333334,0.0,0.07,0.07666248333333334,0.0,0.0,0.0,0.0
2024-01-28 07:45:00,0.34298831385642736,0.304991652754591,0.3200500834724541,0.0825012020033389,0.0,0.07,0.08250063439065108,0.0,0.0,0.0,0.0
2024-01-28 07:50:00,0.3536605657237937,0.31404326123128123,0.3318136439267887,0.08944941763727121,0.0,0.035572379367720466,0.08960945091514143,0.0,0.0,0.0,0.0
2024-01-28 07:55:00,0.3587666666666667,0.32555,0.3416333333333333,0.09606791666666666,0.0,0.02793051666666667,0.09620706666666667,0.0,0.0,0.0,0.0
2024-01-28 08:00:00,0.35828333333333334,0.3352333333333334,0.34674999999999995,0.10313111666666666,0.0,0.023771333333333335,0.10747626666666667,0.0,0.0,0.0,0.0
2024-01-28 08:05:00,0.36714524207011684,0.34373956594323873,0.3558430717863105,0.10872011686143573,0.0,0.024783589315525874,0.12840828046744576,0.0,0.0,0.0,0.0
2024-01-28 08:10:00,0.40003333333333335,0.35841666666666666,0.38031666666666664,0.1172063,0.0,0.029514516666666667,0.1454742,0.0,0.0,0.0,0.0
2024-01-28 08:15:00,0.4753078202995008,0.44545757071547426,0.4627121464226289,0.15652873544093177,0.0,0.06230607321131448,0.21836577371048255,0.0,0.0,0.0,0.0
2024-01-28 08:20:00,0.8385999999999999,0.8356333333333333,0.84315,0.31364285,0.0,0.20038606666666667,0.5142041666666667,0.0,0.0,0.0,0.0
2024-01-28 08:25:00,1.0120333333333333,1.0093833333333333,1.0184,0.37988679999999997,0.0,0.25913705,0.6389261666666667,0.0,0.0,0.0,0.0
2024-01-28 08:30:00,1.0685499999999999,1.0724166666666668,1.0771,0.40181848333333336,0.0,0.28001750000000003,0.6824323166666666,0.0,0.0,0.0,0.0
2024-01-28 08:35:00,1.122637729549249,1.1288313856427379,1.1332053422370618,0.42399712854757926,0.0,0.29980190317195327,0.7238708848080133,0.0,0.0,0.0,0.0
2024-01-28 08:40:00,1.186955074875208,1.1951414309484192,1.1983860232945092,0.44671903494176374,0.0,0.3218471048252912,0.7685590349417637,0.0,0.0,0.0,0.0
2024-01-28 08:45:00,1.2531719532554257,1.2647245409015027,1.2665609348914857,0.47176928213689484,0.0,0.34564171953255424,0.8175075125208682,0.0,0.0,0.0,0.0
2024-01-28 08:50:00,1.3280532445923463,1.3373544093178036,1.3416805324459236,0.4988497670549085,0.0,0.3699466888519135,0.8687605490848586,0.0,0.0,0.0,0.0
2024-01-28 08:55:00,1.38075,1.3937666666666666,1.3959333333333332,0.5182326,0.0,0.38742679999999996,0.9057841500000001,0.0,0.0,0.0,0.0
2024-01-28 09:00:00,1.4445166666666664,1.4545333333333335,1.4583833333333334,0.5412705333333333,0.0,0.40906525000000005,0.9502917166666667,0.0,0.0,0.0,0.0
2024-01-28 09:05:00,1.5084641068447413,1.521636060100167,1.5228547579298832,0.5629291151919866,0.0,0.4303160767946577,0.9935462771285476,0.0,0.0,0.0,0.0
2024-01-28 09:10:00,1.5750748752079866,1.5880698835274543,1.5904492512479202,0.5868759900166389,0.0,0.4513821630615641,1.0381005823627287,0.0,0.0,0.0,0.0
2024-01-28 09:15:00,1.6256833333333334,1.6404833333333333,1.6391333333333333,0.6035611833333333,0.0,0.4686035,1.07271285,0.0,0.0,0.0,0.0
2024-01-28 09:20:00,1.7075333333333333,1.72235,1.7238666666666667,0.6324438166666667,0.0,0.49662598333333335,1.1298132333333333,0.0,0.0,0.0,0.0
2024-01-28 09:25:00,1.76991652754591,1.7843405676126878,1.7880133555926543,0.6567619031719533,0.0,0.51695632721202,1.1728033555926543,0.0,0.0,0.0,0.0
2024-01-28 09:30:00,1.8054076539101496,1.8198003327787022,1.8219800332778702,0.6726585357737105,0.0,0.5310208985024958,1.2037384359400998,0.0,0.0,0.0,0.0
2024-01-28 09:35:00,1.8596166666666667,1.8799333333333335,1.8791833333333334,0.6919382666666667,0.0,0.5493944666666667,1.2413863666666667,0.0,0.0,0.0,0.0
2024-01-28 09:40:00,1.9076999999999997,1.9267166666666666,1.9251166666666666,0.70980185,0.0,0.5639198666666667,1.27401275,0.0,0.0,0.0,0.0
2024-01-28 09:45:00,1.9570617696160266,1.9791986644407344,1.9785809682804676,0.7307213188647746,0.0,0.5829695826377296,1.3137378297161937,0.0,0.0,0.0,0.0
2024-01-28 09:50:00,2.0149916805324457,2.036073211314476,2.0359567387687187,0.7492422462562397,0.0,0.5997633277870217,1.3470450915141432,0.0,0.0,0.0,0.0
2024-01-28 09:55:00,2.0678666666666667,2.0879666666666665,2.0902499999999997,0.7709588833333334,0.0,0.6181052333333333,1.3890693666666665,0.0,0.0,0.0,0.0
